,link,detail
42,https://www.linkedin.com/jobs/view/data-scientist-at-atrium-3390226105?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=ybl0DCilqUj9QW4Zf3mDhw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Atrium hiring Data Scientist in United States | LinkedIn
43,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380716832?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=a3%2FIjkM8%2Bk8FIJBUJkduQg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in Sunnyvale, California, United States | LinkedIn"
44,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384157495?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=%2B1L2o407hcDGdoV4GkG01w%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Grammarly hiring Data Scientist in New Jersey, United States | LinkedIn"
45,https://www.linkedin.com/jobs/view/data-scientist-engineer-at-life-science-people-3366302011?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=V2bRaZtfWmvKEfKbCrJ0GA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Life Science People hiring Data Scientist/ Engineer in United States | LinkedIn
46,https://www.linkedin.com/jobs/view/data-scientist-at-hackajob-3389814866?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=7L0JaTS87tatH2ailnEMfA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,hackajob hiring Data Scientist in New York City Metropolitan Area | LinkedIn
47,https://www.linkedin.com/jobs/view/data-scientist-at-brillio-3374529660?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=7ULtEGsBZ8JWSyy23vN5pA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Brillio hiring Data Scientist in Tampa, Florida, United States | LinkedIn"
48,https://www.linkedin.com/jobs/view/data-scientist-remote-no-c2c-at-novus-professional-services-inc-3383349376?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=vxu%2FNbd24gD6mq9DEsyIYg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,"NOVUS Professional Services, Inc. hiring Data Scientist - Remote (No C2C) in Greenwood Village, Colorado, United States | LinkedIn"
49,https://www.linkedin.com/jobs/view/data-scientist-public-sector-at-clarifai-3382852290?refId=%2FzAjpkmBT%2BTkQfyZui6leg%3D%3D&trackingId=cdDAw4M61%2BiervrAyom2Fg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,"Clarifai hiring Data Scientist - Public Sector in Washington, District of Columbia, United States | LinkedIn"
50,https://www.linkedin.com/jobs/view/data-scientist-multiple-openings-at-starbucks-3379637534?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=QeOTkCNj15wnutV1gzorDw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Starbucks hiring data scientist - multiple openings in Seattle, Washington, United States | LinkedIn"
51,https://www.linkedin.com/jobs/view/data-scientist-deep-learning-peacock-at-peacock-3390271556?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=WUAcCMSHcmynCsdmLKPCvg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Peacock hiring Data Scientist (Deep Learning), Peacock in New York, New York, United States | LinkedIn"
